row,sum,
769,R00769,508
662,R00662,510
182,R00182,511
768,R00768,511
778,R00778,519
274,R00274,520
337,R00337,526
981,R00981,527
296,R00296,535
594,R00594,535
629,R00629,535
1080,R01080,535
416,R00416,541
600,R00600,541
755,R00755,562
1035,R01035,562
614,R00614,590
44,R00044,614
281,R00281,623
1011,R01011,653
17,R00017,731
504,R00504,731
1039,R01039,748
50,R00050,752
831,R00831,758
89,R00089,767
774,R00774,783
394,R00394,802
1062,R01062,820
858,R00858,822
229,R00229,853
66,R00066,860
370,R00370,860
476,R00476,860
514,R00514,863
650,R00650,863
955,R00955,872
960,R00960,872
725,R00725,908
652,R00652,916
734,R00734,917
351,R00351,918
919,R00919,920
1017,R01017,924
636,R00636,925
489,R00489,927
1067,R01067,927
111,R00111,937
457,R00457,938
995,R00995,941
282,R00282,1004
15,R00015,1124
966,R00966,1191
679,R00679,1196
871,R00871,1197
331,R00331,1221
825,R00825,1223
517,R00517,1253
256,R00256,1294
285,R00285,1296
989,R00989,1307
387,R00387,1308
915,R00915,1308
226,R00226,1315
820,R00820,1317
1000,R01000,1322
889,R00889,1346
694,R00694,1359
3,R00003,1360
861,R00861,1362
483,R00483,1363
580,R00580,1365
746,R00746,1421
33,R00033,1493
421,R00421,1582
1028,R01028,1641
564,R00564,1649
1008,R01008,1673
761,R00761,1727
216,R00216,1768
879,R00879,1817
164,R00164,1826
666,R00666,1853
414,R00414,1870
408,R00408,1892
810,R00810,1915
812,R00812,1922
914,R00914,1970
62,R00062,1984
418,R00418,2033
751,R00751,2041
882,R00882,2043
485,R00485,2051
557,R00557,2052
850,R00850,2101
506,R00506,2122
961,R00961,2212
343,R00343,2231
513,R00513,2231
841,R00841,2256
747,R00747,2278
495,R00495,2298
750,R00750,2317
728,R00728,2362
486,R00486,2404
660,R00660,2454
814,R00814,2557
574,R00574,2628
908,R00908,2663
711,R00711,2670
806,R00806,2707
468,R00468,2721
272,R00272,2740
1079,R01079,2742
689,R00689,2786
872,R00872,2809
154,R00154,2857
856,R00856,2929
653,R00653,2935
699,R00699,2948
429,R00429,2973
671,R00671,3007
776,R00776,3054
193,R00193,3136
887,R00887,3213
630,R00630,3269
948,R00948,3301
859,R00859,3328
508,R00508,3362
719,R00719,3552
990,R00990,3679
973,R00973,3704
737,R00737,3752
592,R00592,3777
997,R00997,3785
758,R00758,3802
467,R00467,3812
1053,R01053,3848
147,R00147,3904
222,R00222,3973
333,R00333,4095
957,R00957,4102
269,R00269,4129
474,R00474,4146
552,R00552,4162
445,R00445,4399
582,R00582,4715
170,R00170,4975
349,R00349,5329
792,R00792,5841
73,R00073,6457
867,R00867,6862
703,R00703,7050
1060,R01060,7349
1040,R01040,7618
150,R00150,7978
460,R00460,8337
401,R00401,8576
770,R00770,8597
534,R00534,8680
235,R00235,8682
676,R00676,8835
254,R00254,8955
612,R00612,9008
967,R00967,9057
545,R00545,9116
874,R00874,9125
473,R00473,9254
246,R00246,9338
904,R00904,9409
553,R00553,9465
865,R00865,9547
1031,R01031,9548
813,R00813,9565
920,R00920,9598
924,R00924,9784
884,R00884,10588
163,R00163,10810
209,R00209,10989
797,R00797,11412
921,R00921,11909
198,R00198,12168
318,R00318,12546
683,R00683,12561
262,R00262,12649
426,R00426,12673
458,R00458,13029
641,R00641,13036
118,R00118,13140
862,R00862,13190
311,R00311,13384
1023,R01023,13609
308,R00308,13672
257,R00257,13681
314,R00314,13681
925,R00925,13686
507,R00507,13725
364,R00364,13737
929,R00929,13781
236,R00236,13793
395,R00395,13802
852,R00852,13819
798,R00798,13825
51,R00051,13829
482,R00482,13831
410,R00410,13852
404,R00404,13898
202,R00202,13915
1075,R01075,13957
936,R00936,13965
704,R00704,14008
939,R00939,14025
682,R00682,14043
782,R00782,14060
1055,R01055,14156
941,R00941,14182
2,R00002,14186
740,R00740,14217
846,R00846,14221
556,R00556,14227
739,R00739,14261
646,R00646,14270
472,R00472,14293
587,R00587,14406
530,R00530,14491
1038,R01038,14533
252,R00252,14555
613,R00613,14696
1071,R01071,14725
749,R00749,14781
598,R00598,14807
243,R00243,14893
586,R00586,14910
38,R00038,14920
60,R00060,14931
512,R00512,14947
722,R00722,14964
499,R00499,14970
264,R00264,14973
297,R00297,14981
938,R00938,14993
970,R00970,14994
721,R00721,15008
338,R00338,15011
435,R00435,15018
1001,R01001,15029
555,R00555,15035
64,R00064,15087
96,R00096,15184
139,R00139,15207
842,R00842,15215
823,R00823,15217
97,R00097,15223
423,R00423,15233
880,R00880,15326
684,R00684,15354
369,R00369,15369
503,R00503,15370
718,R00718,15380
795,R00795,15484
13,R00013,15489
180,R00180,15544
784,R00784,15615
261,R00261,15680
204,R00204,15705
743,R00743,15784
1052,R01052,15809
645,R00645,15854
742,R00742,15901
524,R00524,16062
135,R00135,16095
85,R00085,16141
23,R00023,16252
706,R00706,16299
1007,R01007,16317
608,R00608,16447
79,R00079,16575
313,R00313,16611
42,R00042,16715
890,R00890,16767
350,R00350,16869
4,R00004,16955
616,R00616,17005
788,R00788,17015
877,R00877,17084
790,R00790,17111
777,R00777,17153
56,R00056,17182
325,R00325,17355
32,R00032,17369
219,R00219,17461
917,R00917,17498
419,R00419,17507
605,R00605,17702
389,R00389,17721
854,R00854,17896
817,R00817,17947
322,R00322,18003
399,R00399,18049
263,R00263,18061
510,R00510,18165
157,R00157,18203
834,R00834,18213
393,R00393,18269
675,R00675,18555
287,R00287,18562
153,R00153,18569
835,R00835,18604
120,R00120,18837
1,R00001,18839
469,R00469,18912
589,R00589,19092
334,R00334,19134
217,R00217,19157
181,R00181,19179
156,R00156,19220
764,R00764,19222
31,R00031,19314
992,R00992,19317
481,R00481,19319
538,R00538,19326
791,R00791,19337
292,R00292,19339
29,R00029,19354
1065,R01065,19413
184,R00184,19437
340,R00340,19443
356,R00356,19518
632,R00632,19537
1026,R01026,19583
688,R00688,19630
923,R00923,19645
654,R00654,19657
301,R00301,19688
894,R00894,19713
74,R00074,19780
477,R00477,19781
1034,R01034,19864
384,R00384,19870
162,R00162,19880
69,R00069,19907
549,R00549,19916
244,R00244,19919
377,R00377,19938
501,R00501,20047
978,R00978,20047
1077,R01077,20055
434,R00434,20103
558,R00558,20156
454,R00454,20276
536,R00536,20413
805,R00805,20418
1043,R01043,20453
635,R00635,20481
39,R00039,20578
447,R00447,20684
1046,R01046,20697
581,R00581,20750
984,R00984,20792
494,R00494,20802
342,R00342,20919
1041,R01041,20921
687,R00687,20956
141,R00141,20963
493,R00493,20976
849,R00849,21015
232,R00232,21026
1044,R01044,21099
579,R00579,21306
745,R00745,21319
602,R00602,21339
693,R00693,21339
551,R00551,21512
258,R00258,21527
112,R00112,21577
928,R00928,21618
720,R00720,21634
624,R00624,21671
839,R00839,21694
203,R00203,21924
532,R00532,21944
832,R00832,22131
385,R00385,22146
459,R00459,22220
690,R00690,22264
752,R00752,22276
366,R00366,22331
528,R00528,22461
328,R00328,22464
465,R00465,22702
279,R00279,22787
891,R00891,22933
713,R00713,22968
253,R00253,22980
895,R00895,22993
542,R00542,23003
885,R00885,23033
611,R00611,23239
1049,R01049,23269
169,R00169,23351
772,R00772,23358
907,R00907,23396
1068,R01068,23460
1063,R01063,23481
299,R00299,23583
95,R00095,23785
830,R00830,23863
918,R00918,23929
63,R00063,23987
424,R00424,24115
400,R00400,24247
733,R00733,24268
107,R00107,24385
804,R00804,24473
122,R00122,24624
931,R00931,24633
1054,R01054,24749
221,R00221,24766
789,R00789,24769
628,R00628,24927
125,R00125,24985
639,R00639,24992
443,R00443,25390
568,R00568,25771
388,R00388,26074
738,R00738,26096
853,R00853,26380
964,R00964,26452
84,R00084,26469
1027,R01027,26599
1045,R01045,26686
543,R00543,26910
316,R00316,26918
480,R00480,26941
48,R00048,27001
983,R00983,27155
786,R00786,27202
9,R00009,27205
866,R00866,27212
127,R00127,27317
1056,R01056,27443
210,R00210,27477
1019,R01019,27479
1003,R01003,27520
567,R00567,27543
855,R00855,27548
1010,R01010,27582
707,R00707,27583
206,R00206,27639
90,R00090,27642
1032,R01032,27644
126,R00126,27752
837,R00837,27795
166,R00166,27837
88,R00088,27842
1048,R01048,27870
522,R00522,27934
195,R00195,27965
979,R00979,27994
547,R00547,28024
656,R00656,28030
354,R00354,28132
205,R00205,28150
431,R00431,28268
87,R00087,28302
241,R00241,28322
357,R00357,28328
698,R00698,28389
1069,R01069,28426
1030,R01030,28448
807,R00807,28467
100,R00100,28500
878,R00878,28501
1072,R01072,28518
962,R00962,28596
674,R00674,28635
436,R00436,28717
655,R00655,28765
382,R00382,28781
185,R00185,28815
220,R00220,28848
305,R00305,28909
585,R00585,28937
187,R00187,28980
191,R00191,28994
570,R00570,29011
741,R00741,29017
822,R00822,29048
278,R00278,29049
374,R00374,29060
860,R00860,29128
411,R00411,29137
148,R00148,29204
451,R00451,29207
1061,R01061,29369
14,R00014,29440
584,R00584,29442
597,R00597,29448
81,R00081,29482
1051,R01051,29561
59,R00059,29826
1012,R01012,29839
910,R00910,29861
648,R00648,29951
548,R00548,30026
977,R00977,30167
559,R00559,30192
665,R00665,30403
35,R00035,30683
422,R00422,30746
826,R00826,30751
470,R00470,30841
302,R00302,30915
403,R00403,30962
178,R00178,31052
956,R00956,31053
173,R00173,31239
651,R00651,31274
1005,R01005,31299
864,R00864,31302
1018,R01018,31401
16,R00016,31540
165,R00165,31625
785,R00785,31801
375,R00375,32245
108,R00108,32359
664,R00664,32695
986,R00986,32778
65,R00065,32855
461,R00461,32968
819,R00819,33060
188,R00188,33089
668,R00668,33149
723,R00723,33436
455,R00455,33452
1058,R01058,33799
595,R00595,33865
172,R00172,33939
298,R00298,33969
588,R00588,34018
617,R00617,34171
515,R00515,34195
201,R00201,34208
286,R00286,34212
803,R00803,34222
729,R00729,34317
412,R00412,34424
492,R00492,34536
290,R00290,34830
691,R00691,34834
284,R00284,35042
303,R00303,35477
320,R00320,35626
523,R00523,36054
621,R00621,36167
91,R00091,36312
213,R00213,36956
225,R00225,37027
827,R00827,37033
11,R00011,37637
633,R00633,37721
304,R00304,37806
818,R00818,37950
289,R00289,38057
358,R00358,38191
479,R00479,38572
335,R00335,38788
121,R00121,38918
347,R00347,38926
138,R00138,39287
886,R00886,39287
926,R00926,39296
444,R00444,39585
796,R00796,39752
37,R00037,39756
214,R00214,39816
726,R00726,39829
701,R00701,39861
930,R00930,39988
618,R00618,40329
109,R00109,40365
102,R00102,40373
801,R00801,40374
70,R00070,40544
238,R00238,40560
828,R00828,40564
525,R00525,40571
500,R00500,40591
934,R00934,40625
620,R00620,40703
440,R00440,40743
438,R00438,40855
211,R00211,40865
67,R00067,40955
446,R00446,41030
518,R00518,41036
982,R00982,41078
659,R00659,41134
844,R00844,41137
1066,R01066,41150
223,R00223,41202
75,R00075,41220
8,R00008,41244
521,R00521,41288
533,R00533,41318
667,R00667,41342
502,R00502,41369
398,R00398,41378
596,R00596,41452
490,R00490,41483
413,R00413,41526
516,R00516,41558
249,R00249,41593
898,R00898,41599
968,R00968,41690
407,R00407,41693
765,R00765,41696
760,R00760,41698
663,R00663,41738
439,R00439,41744
78,R00078,41768
452,R00452,41848
601,R00601,41884
591,R00591,41942
606,R00606,41960
291,R00291,41986
200,R00200,41992
958,R00958,42038
34,R00034,42056
362,R00362,42177
906,R00906,42268
902,R00902,42299
110,R00110,42301
951,R00951,42354
937,R00937,42409
748,R00748,42438
996,R00996,42514
695,R00695,42720
631,R00631,42837
367,R00367,42903
310,R00310,42920
848,R00848,43114
539,R00539,43214
991,R00991,43446
869,R00869,43489
622,R00622,43548
566,R00566,43783
531,R00531,44156
260,R00260,44298
509,R00509,44384
288,R00288,44452
623,R00623,44508
959,R00959,44667
609,R00609,44983
199,R00199,45186
425,R00425,45502
24,R00024,45608
912,R00912,45663
811,R00811,45741
432,R00432,45851
189,R00189,46030
901,R00901,46617
86,R00086,46887
437,R00437,46893
365,R00365,47431
903,R00903,48079
392,R00392,48188
1013,R01013,48211
577,R00577,48541
7,R00007,48601
868,R00868,48774
696,R00696,48848
1033,R01033,48883
268,R00268,49424
321,R00321,49545
686,R00686,49712
735,R00735,49777
183,R00183,50093
583,R00583,50149
670,R00670,50400
72,R00072,50770
627,R00627,50998
306,R00306,51229
1073,R01073,51480
448,R00448,51662
1016,R01016,51686
710,R00710,52156
267,R00267,52269
266,R00266,52434
312,R00312,52708
155,R00155,52904
114,R00114,52968
569,R00569,53189
800,R00800,53713
113,R00113,53950
619,R00619,54475
383,R00383,54524
176,R00176,54684
590,R00590,55203
58,R00058,55242
529,R00529,55616
625,R00625,55937
171,R00171,56493
352,R00352,56707
373,R00373,56831
167,R00167,56970
1015,R01015,56987
237,R00237,57108
462,R00462,57319
456,R00456,57504
130,R00130,57668
540,R00540,57786
143,R00143,58378
487,R00487,58478
417,R00417,58479
642,R00642,58824
248,R00248,58851
881,R00881,59103
717,R00717,59521
224,R00224,59777
922,R00922,60025
83,R00083,60690
993,R00993,60872
276,R00276,61602
1024,R01024,61736
562,R00562,61748
724,R00724,61822
971,R00971,61859
270,R00270,62145
28,R00028,62164
658,R00658,62679
158,R00158,62729
762,R00762,62732
497,R00497,62745
18,R00018,62799
604,R00604,62899
775,R00775,63100
576,R00576,63302
339,R00339,63311
773,R00773,63318
93,R00093,63456
40,R00040,63463
833,R00833,63581
505,R00505,63629
572,R00572,63638
376,R00376,63641
809,R00809,63695
386,R00386,63775
124,R00124,63814
705,R00705,63981
909,R00909,64011
780,R00780,64143
1070,R01070,64418
899,R00899,64561
36,R00036,64653
520,R00520,64668
129,R00129,64694
117,R00117,64780
976,R00976,64823
681,R00681,64891
708,R00708,65066
550,R00550,65999
927,R00927,66564
80,R00080,66778
132,R00132,67019
546,R00546,67805
464,R00464,68073
136,R00136,68523
821,R00821,68766
105,R00105,68831
245,R00245,68882
637,R00637,69008
673,R00673,69028
754,R00754,69036
692,R00692,69237
324,R00324,69248
76,R00076,69346
280,R00280,69390
875,R00875,69432
247,R00247,69827
712,R00712,69929
526,R00526,70030
379,R00379,70145
57,R00057,70242
1029,R01029,70339
409,R00409,70551
359,R00359,70680
12,R00012,70905
361,R00361,71093
498,R00498,71102
685,R00685,71653
560,R00560,71736
657,R00657,71823
27,R00027,72211
644,R00644,72476
1022,R01022,73161
680,R00680,73206
1059,R01059,73277
190,R00190,73370
26,R00026,73378
954,R00954,73447
396,R00396,74241
45,R00045,74869
151,R00151,74890
952,R00952,74915
840,R00840,76393
92,R00092,76482
857,R00857,76877
192,R00192,77120
942,R00942,77234
757,R00757,78117
300,R00300,78866
196,R00196,78884
215,R00215,79268
845,R00845,79273
974,R00974,79392
965,R00965,79474
137,R00137,79485
427,R00427,79577
25,R00025,79607
638,R00638,79647
275,R00275,79832
346,R00346,79848
463,R00463,80087
677,R00677,80207
1020,R01020,80207
360,R00360,80364
935,R00935,80428
94,R00094,80429
766,R00766,80433
326,R00326,80746
709,R00709,80751
565,R00565,80926
511,R00511,81245
332,R00332,81463
378,R00378,81486
1064,R01064,81518
945,R00945,81547
430,R00430,81615
944,R00944,81829
315,R00315,81959
634,R00634,82048
106,R00106,82389
271,R00271,82576
767,R00767,82620
186,R00186,82949
52,R00052,82966
643,R00643,83066
442,R00442,83131
678,R00678,83182
234,R00234,83249
140,R00140,83655
1037,R01037,83760
273,R00273,84015
838,R00838,84055
946,R00946,84146
368,R00368,84211
1074,R01074,84527
240,R00240,84602
876,R00876,84638
732,R00732,84653
133,R00133,84779
771,R00771,85237
987,R00987,85252
843,R00843,85269
649,R00649,85359
1014,R01014,85377
207,R00207,85491
242,R00242,85600
824,R00824,85608
10,R00010,85651
98,R00098,86047
953,R00953,86265
1006,R01006,86352
475,R00475,86410
212,R00212,86428
175,R00175,86470
893,R00893,86476
593,R00593,86503
647,R00647,86583
610,R00610,86658
661,R00661,86658
836,R00836,86701
1057,R01057,86907
802,R00802,87003
283,R00283,87213
913,R00913,87247
561,R00561,87368
896,R00896,87524
145,R00145,87681
71,R00071,87855
363,R00363,88008
119,R00119,88064
759,R00759,88152
779,R00779,88295
714,R00714,88515
816,R00816,88715
104,R00104,88759
905,R00905,88910
20,R00020,88970
47,R00047,89149
344,R00344,89232
293,R00293,89242
82,R00082,89316
998,R00998,89549
294,R00294,89553
251,R00251,89697
716,R00716,89960
972,R00972,90086
1002,R01002,90128
405,R00405,90199
142,R00142,90272
307,R00307,90281
144,R00144,90282
794,R00794,90630
484,R00484,90675
940,R00940,91076
783,R00783,91152
381,R00381,91154
228,R00228,91160
131,R00131,91211
6,R00006,91252
980,R00980,91316
255,R00255,91486
372,R00372,91652
988,R00988,91706
985,R00985,91906
239,R00239,91931
969,R00969,91974
233,R00233,92104
428,R00428,92180
575,R00575,92216
999,R00999,92313
54,R00054,92526
715,R00715,92702
571,R00571,92759
295,R00295,92782
348,R00348,93024
168,R00168,93098
161,R00161,93117
672,R00672,93354
197,R00197,93562
702,R00702,94060
640,R00640,94092
